Designator,Mid X,Mid Y,Rotation,Layer
C1,-0.749,59.182,0.0,top
C10,5.715,27.94,0.0,top
C11,9.172,28.194,0.0,top
C12,18.415,14.605,270.0,top
C13_2,52.352,9.082,0.0,top
C13,9.525,26.67,0.0,top
C14_2,36.096,2.286,180.0,top
C14,10.4775,7.62,180.0,top
C15,16.736,22.098,0.0,top
C16,52.352,7.112,0.0,top
C2,21.59,9.525,270.0,top
C3_2,34.966,8.636,180.0,top
C3,6.6675,9.525,270.0,top
C4,-0.762,51.345,270.0,top
C5,17.752,18.796,180.0,top
C6,18.796,29.746,270.0,top
C7,-0.79,57.658,180.0,top
C8,-0.762,44.667,90.0,top
C9,11.43,14.76,90.0,top
D2,29.886,4.572,180.0,top
G3,6.985,-11.43,0.0,top
J1,1.676,18.558,90.0,top
LED1,8.6705,114.046,0.0,top
LED2,64.516,65.786,0.0,top
LED3,-5.8075,6.604,0.0,top
LED4,-43.6535,59.436,0.0,top
Q1,30.394,10.3285,90.0,top
R1,17.589,17.272,180.0,top
R10,17.145,4.7625,270.0,top
R11,5.715,4.7625,90.0,top
R12,24.134,49.53,0.0,top
R13_2,24.384,62.23,0.0,top
R13,5.715,23.495,180.0,top
R14,24.638,60.96,0.0,top
R15,24.384,59.69,0.0,top
R16_2,24.386,57.912,0.0,top
R16,14.9225,12.065,0.0,top
R17,9.8425,12.7,270.0,top
R19,7.9375,13.335,180.0,top
R2,17.589,20.574,0.0,top
R3,7.114,21.336,0.0,top
R4,51.209,4.1165,0.0,top
R5,24.388,53.594,0.0,top
R6,24.042,4.572,180.0,top
R7,24.388,51.604,0.0,top
R8,19.812,29.716,90.0,top
R9,24.386,55.626,0.0,top
SW1,12.24,20.646,0.0,top
SW2,14.189,28.194,0.0,top
SW3,-38.148,114.228,0.0,top
SW4,59.642,113.212,0.0,top
SW5,60.198,10.668,0.0,top
SW6,-43.18,6.858,0.0,top
U1_2,45.113,6.4025,0.0,top
U1,9.525,9.972,0.0,top
U2,14.9225,9.525,270.0,top
U5,14.9225,14.605,180.0,top
U6,5.715,25.7175,180.0,top
U8,36.068,5.08,0.0,top
U9,33.02,50.8,0.0,top
USB2,11.423,3.365,0.0,top
X1,0.0,48.0,270.0,top
